ref_id; pt1x; pt1y; query_id; pt2x; pt2y
2020_PS068_P4_c_CR.tif;49;239;2020_PS068_P4_d_EH.TIF;314;180
2020_PS068_P4_c_CR.tif;96;403;2020_PS068_P4_d_EH.TIF;69;164
2020_PS068_P4_c_CR.tif;63;164;2020_PS068_P4_d_EH.TIF;331;281
2020_PS068_P4_c_CR.tif;136;398;2020_PS068_P4_d_EH.TIF;239;114
2020_PS068_P4_c_CR.tif;296;124;2020_PS068_P4_d_EH.TIF;228;436
2020_PS068_P4_c_CR.tif;249;48;2020_PS068_P4_d_EH.TIF;81;396
2020_PS068_P4_c_CR.tif;304;184;2020_PS068_P4_d_EH.TIF;101;155
2020_PS068_P4_c_CR.tif;304;184;2020_PS068_P4_d_EH.TIF;101;155
2020_PS068_P4_c_CR.tif;300;98;2020_PS068_P4_d_EH.TIF;58;364
2020_PS068_P4_c_CR.tif;249;60;2020_PS068_P4_d_EH.TIF;210;439
2020_PS068_P4_c_CR.tif;270;419;2020_PS068_P4_d_EH.TIF;118;63
2020_PS068_P4_c_CR.tif;42;297;2020_PS068_P4_d_EH.TIF;249;80
2020_PS068_P4_c_CR.tif;122;383;2020_PS068_P4_d_EH.TIF;226;147
2020_PS068_P4_c_CR.tif;49;285;2020_PS068_P4_d_EH.TIF;93;104
2020_PS068_P4_c_CR.tif;36;235;2020_PS068_P4_d_EH.TIF;80;110
2020_PS068_P4_c_CR.tif;34;292;2020_PS068_P4_d_EH.TIF;164;37
2020_PS068_P4_c_CR.tif;33;273;2020_PS068_P4_d_EH.TIF;271;78
2020_PS068_P4_c_CR.tif;267;175;2020_PS068_P4_d_EH.TIF;237;103
2020_PS068_P4_c_CR.tif;318;356;2020_PS068_P4_d_EH.TIF;319;164
2020_PS068_P4_c_CR.tif;272;119;2020_PS068_P4_d_EH.TIF;120;352
2020_PS068_P4_c_CR.tif;177;40;2020_PS068_P4_d_EH.TIF;76;132
2020_PS068_P4_c_CR.tif;30;288;2020_PS068_P4_d_EH.TIF;29;286
2020_PS068_P4_c_CR.tif;30;287;2020_PS068_P4_d_EH.TIF;36;206
2020_PS068_P4_c_CR.tif;55;282;2020_PS068_P4_d_EH.TIF;324;289
2020_PS068_P4_c_CR.tif;147;139;2020_PS068_P4_d_EH.TIF;244;73
2020_PS068_P4_c_CR.tif;339;300;2020_PS068_P4_d_EH.TIF;338;303
2020_PS068_P4_c_CR.tif;340;294;2020_PS068_P4_d_EH.TIF;32;230
ref_id; pt1x; pt1y; query_id; pt2x; pt2y
2020_PS067_P4_b_in_PS073_CR.tif;229;419;2020_PS067_P4_c_in_PS073_EH.TIF;147;431
2020_PS067_P4_b_in_PS073_CR.tif;312;176;2020_PS067_P4_c_in_PS073_EH.TIF;48;236
2020_PS067_P4_b_in_PS073_CR.tif;112;243;2020_PS067_P4_c_in_PS073_EH.TIF;163;219
2020_PS067_P4_b_in_PS073_CR.tif;314;273;2020_PS067_P4_c_in_PS073_EH.TIF;163;219
2020_PS067_P4_b_in_PS073_CR.tif;46;310;2020_PS067_P4_c_in_PS073_EH.TIF;315;375
2020_PS067_P4_b_in_PS073_CR.tif;261;66;2020_PS067_P4_c_in_PS073_EH.TIF;34;258
2020_PS067_P4_b_in_PS073_CR.tif;80;145;2020_PS067_P4_c_in_PS073_EH.TIF;84;180
2020_PS067_P4_b_in_PS073_CR.tif;105;178;2020_PS067_P4_c_in_PS073_EH.TIF;261;174
2020_PS067_P4_b_in_PS073_CR.tif;35;270;2020_PS067_P4_c_in_PS073_EH.TIF;181;455
2020_PS067_P4_b_in_PS073_CR.tif;94;73;2020_PS067_P4_c_in_PS073_EH.TIF;122;55
2020_PS067_P4_b_in_PS073_CR.tif;147;162;2020_PS067_P4_c_in_PS073_EH.TIF;108;216
2020_PS067_P4_b_in_PS073_CR.tif;50;145;2020_PS067_P4_c_in_PS073_EH.TIF;79;395
2020_PS067_P4_b_in_PS073_CR.tif;262;383;2020_PS067_P4_c_in_PS073_EH.TIF;102;391
2020_PS067_P4_b_in_PS073_CR.tif;129;54;2020_PS067_P4_c_in_PS073_EH.TIF;243;51
