ref_id; pt1x; pt1y; query_id; pt2x; pt2y
2020_PS161_P3_c_CR.tif;274;117;2020_PS161_P3_d_EH.TIF;91;185
2020_PS161_P3_c_CR.tif;121;86;2020_PS161_P3_d_EH.TIF;161;76
2020_PS161_P3_c_CR.tif;102;220;2020_PS161_P3_d_EH.TIF;264;370
2020_PS161_P3_c_CR.tif;248;456;2020_PS161_P3_d_EH.TIF;344;343
2020_PS161_P3_c_CR.tif;336;319;2020_PS161_P3_d_EH.TIF;48;256
2020_PS161_P3_c_CR.tif;86;358;2020_PS161_P3_d_EH.TIF;138;436
2020_PS161_P3_c_CR.tif;303;384;2020_PS161_P3_d_EH.TIF;204;50
2020_PS161_P3_c_CR.tif;148;140;2020_PS161_P3_d_EH.TIF;106;342
2020_PS161_P3_c_CR.tif;236;149;2020_PS161_P3_d_EH.TIF;315;356
2020_PS161_P3_c_CR.tif;57;154;2020_PS161_P3_d_EH.TIF;155;465
2020_PS161_P3_c_CR.tif;220;96;2020_PS161_P3_d_EH.TIF;247;119
2020_PS161_P3_c_CR.tif;208;316;2020_PS161_P3_d_EH.TIF;107;389
2020_PS161_P3_c_CR.tif;327;258;2020_PS161_P3_d_EH.TIF;74;230
2020_PS161_P3_c_CR.tif;351;312;2020_PS161_P3_d_EH.TIF;98;433
2020_PS161_P3_c_CR.tif;309;352;2020_PS161_P3_d_EH.TIF;73;330
2020_PS161_P3_c_CR.tif;338;347;2020_PS161_P3_d_EH.TIF;349;354
2020_PS161_P3_c_CR.tif;341;302;2020_PS161_P3_d_EH.TIF;205;162
2020_PS161_P3_c_CR.tif;68;266;2020_PS161_P3_d_EH.TIF;239;146
2020_PS161_P3_c_CR.tif;305;338;2020_PS161_P3_d_EH.TIF;64;320
2020_PS161_P3_c_CR.tif;162;162;2020_PS161_P3_d_EH.TIF;282;225
2020_PS161_P3_c_CR.tif;184;340;2020_PS161_P3_d_EH.TIF;128;243
2020_PS161_P3_c_CR.tif;264;152;2020_PS161_P3_d_EH.TIF;195;388
2020_PS161_P3_c_CR.tif;254;347;2020_PS161_P3_d_EH.TIF;224;444
2020_PS161_P3_c_CR.tif;306;366;2020_PS161_P3_d_EH.TIF;78;345
2020_PS161_P3_c_CR.tif;64;277;2020_PS161_P3_d_EH.TIF;127;353
2020_PS161_P3_c_CR.tif;164;197;2020_PS161_P3_d_EH.TIF;177;183
2020_PS161_P3_c_CR.tif;83;338;2020_PS161_P3_d_EH.TIF;265;94
2020_PS161_P3_c_CR.tif;320;341;2020_PS161_P3_d_EH.TIF;79;315
2020_PS161_P3_c_CR.tif;211;413;2020_PS161_P3_d_EH.TIF;203;184
2020_PS161_P3_c_CR.tif;293;260;2020_PS161_P3_d_EH.TIF;125;164
2020_PS161_P3_c_CR.tif;273;320;2020_PS161_P3_d_EH.TIF;152;127
2020_PS161_P3_c_CR.tif;97;378;2020_PS161_P3_d_EH.TIF;279;435
2020_PS161_P3_c_CR.tif;320;313;2020_PS161_P3_d_EH.TIF;68;290
2020_PS161_P3_c_CR.tif;124;362;2020_PS161_P3_d_EH.TIF;152;291
