ref_id,pt1x,pt1y, query_id,pt2x,pt2y
2020_PS013_P3_b_CR.tif,282,230,2020_PS013_P3_c_EH.TIF,47,230
ref_id,pt1x,pt1y, query_id,pt2x,pt2y
2020_PS013_P3_c_CR.tif,282,230,2020_PS013_P3_d_EH.TIF,47,230
ref_id,pt1x,pt1y, query_id,pt2x,pt2y
2020_PS013_P3_a_CR.tif,282,230,2020_PS013_P3_b_EH.TIF,47,230
ref_id,pt1x,pt1y, query_id,pt2x,pt2y
2020_PS013_P4_b_CR.tif,282,230,2020_PS013_P4_c_EH.TIF,47,230
ref_id,pt1x,pt1y, query_id,pt2x,pt2y
2020_PS013_P4_c_CR.tif,282,230,2020_PS013_P4_d_EH.TIF,47,230
ref_id,pt1x,pt1y, query_id,pt2x,pt2y
2020_PS013_P4_a_CR.tif,282,230,2020_PS013_P4_b_EH.TIF,47,230
