ref_id,pt1x,pt1y, query_id,pt2x,pt2y
2020_PS013_P3_b_CR.tif,55,264,2020_PS013_P3_c_EH.TIF,102,226
2020_PS013_P3_b_CR.tif,107,427,2020_PS013_P3_c_EH.TIF,171,425
2020_PS013_P3_b_CR.tif,300,108,2020_PS013_P3_c_EH.TIF,243,41
2020_PS013_P3_b_CR.tif,267,413,2020_PS013_P3_c_EH.TIF,48,228
2020_PS013_P3_b_CR.tif,316,119,2020_PS013_P3_c_EH.TIF,345,239
2020_PS013_P3_b_CR.tif,294,200,2020_PS013_P3_c_EH.TIF,175,159
2020_PS013_P3_b_CR.tif,269,195,2020_PS013_P3_c_EH.TIF,146,155
2020_PS013_P3_b_CR.tif,86,279,2020_PS013_P3_c_EH.TIF,183,400
2020_PS013_P3_b_CR.tif,69,184,2020_PS013_P3_c_EH.TIF,170,66
2020_PS013_P3_b_CR.tif,169,354,2020_PS013_P3_c_EH.TIF,211,166
2020_PS013_P3_b_CR.tif,216,260,2020_PS013_P3_c_EH.TIF,78,216
2020_PS013_P3_b_CR.tif,221,292,2020_PS013_P3_c_EH.TIF,80,245
2020_PS013_P3_b_CR.tif,304,224,2020_PS013_P3_c_EH.TIF,180,178
2020_PS013_P3_b_CR.tif,187,49,2020_PS013_P3_c_EH.TIF,191,126
2020_PS013_P3_b_CR.tif,239,278,2020_PS013_P3_c_EH.TIF,119,353
2020_PS013_P3_b_CR.tif,265,207,2020_PS013_P3_c_EH.TIF,138,163
2020_PS013_P3_b_CR.tif,231,267,2020_PS013_P3_c_EH.TIF,297,153
2020_PS013_P3_b_CR.tif,331,194,2020_PS013_P3_c_EH.TIF,89,147
2020_PS013_P3_b_CR.tif,57,214,2020_PS013_P3_c_EH.TIF,149,190
2020_PS013_P3_b_CR.tif,271,286,2020_PS013_P3_c_EH.TIF,124,239
2020_PS013_P3_b_CR.tif,261,286,2020_PS013_P3_c_EH.TIF,115,238
2020_PS013_P3_b_CR.tif,242,435,2020_PS013_P3_c_EH.TIF,84,137
2020_PS013_P3_b_CR.tif,311,191,2020_PS013_P3_c_EH.TIF,337,172
2020_PS013_P3_b_CR.tif,218,169,2020_PS013_P3_c_EH.TIF,112,135
2020_PS013_P3_b_CR.tif,247,277,2020_PS013_P3_c_EH.TIF,102,229
2020_PS013_P3_b_CR.tif,250,184,2020_PS013_P3_c_EH.TIF,222,248
2020_PS013_P3_b_CR.tif,294,180,2020_PS013_P3_c_EH.TIF,182,140
2020_PS013_P3_b_CR.tif,317,190,2020_PS013_P3_c_EH.TIF,212,120
2020_PS013_P3_b_CR.tif,283,203,2020_PS013_P3_c_EH.TIF,158,160
2020_PS013_P3_b_CR.tif,283,203,2020_PS013_P3_c_EH.TIF,158,160
2020_PS013_P3_b_CR.tif,319,233,2020_PS013_P3_c_EH.TIF,157,412
2020_PS013_P3_b_CR.tif,165,76,2020_PS013_P3_c_EH.TIF,243,148
2020_PS013_P3_b_CR.tif,185,273,2020_PS013_P3_c_EH.TIF,269,110
2020_PS013_P3_b_CR.tif,266,295,2020_PS013_P3_c_EH.TIF,120,246
