ref_id; pt1x; pt1y; query_id; pt2x; pt2y
2020_PS076_P3_a_CR.tif;53;231;2020_PS076_P3_b_EH.TIF;55;224
2020_PS076_P3_a_CR.tif;164;226;2020_PS076_P3_b_EH.TIF;237;245
2020_PS076_P3_a_CR.tif;112;148;2020_PS076_P3_b_EH.TIF;154;121
2020_PS076_P3_a_CR.tif;342;273;2020_PS076_P3_b_EH.TIF;38;308
2020_PS076_P3_a_CR.tif;294;179;2020_PS076_P3_b_EH.TIF;97;222
2020_PS076_P3_a_CR.tif;294;179;2020_PS076_P3_b_EH.TIF;97;222
2020_PS076_P3_a_CR.tif;290;198;2020_PS076_P3_b_EH.TIF;84;240
2020_PS076_P3_a_CR.tif;188;118;2020_PS076_P3_b_EH.TIF;217;170
2020_PS076_P3_a_CR.tif;297;168;2020_PS076_P3_b_EH.TIF;142;104
2020_PS076_P3_a_CR.tif;226;221;2020_PS076_P3_b_EH.TIF;155;261
2020_PS076_P3_a_CR.tif;314;210;2020_PS076_P3_b_EH.TIF;109;255
2020_PS076_P3_a_CR.tif;88;160;2020_PS076_P3_b_EH.TIF;224;134
2020_PS076_P3_a_CR.tif;235;166;2020_PS076_P3_b_EH.TIF;161;154
2020_PS076_P3_a_CR.tif;41;316;2020_PS076_P3_b_EH.TIF;246;453
2020_PS076_P3_a_CR.tif;85;75;2020_PS076_P3_b_EH.TIF;211;37
2020_PS076_P3_a_CR.tif;94;119;2020_PS076_P3_b_EH.TIF;175;126
2020_PS076_P3_a_CR.tif;64;315;2020_PS076_P3_b_EH.TIF;319;327
2020_PS076_P3_a_CR.tif;299;133;2020_PS076_P3_b_EH.TIF;313;141
2020_PS076_P3_a_CR.tif;145;32;2020_PS076_P3_b_EH.TIF;173;33
2020_PS076_P3_a_CR.tif;214;156;2020_PS076_P3_b_EH.TIF;198;163
2020_PS076_P3_a_CR.tif;160;183;2020_PS076_P3_b_EH.TIF;214;129
2020_PS076_P3_a_CR.tif;101;168;2020_PS076_P3_b_EH.TIF;237;267
2020_PS076_P3_a_CR.tif;72;153;2020_PS076_P3_b_EH.TIF;121;130
2020_PS076_P3_a_CR.tif;122;182;2020_PS076_P3_b_EH.TIF;317;240
2020_PS076_P3_a_CR.tif;33;287;2020_PS076_P3_b_EH.TIF;185;475
ref_id; pt1x; pt1y; query_id; pt2x; pt2y
2020_PS076_P1_c_CR.tif;293;218;2020_PS076_P1_d_EH.TIF;107;215
2020_PS076_P1_c_CR.tif;246;133;2020_PS076_P1_d_EH.TIF;144;224
2020_PS076_P1_c_CR.tif;56;179;2020_PS076_P1_d_EH.TIF;239;448
2020_PS076_P1_c_CR.tif;176;41;2020_PS076_P1_d_EH.TIF;188;41
2020_PS076_P1_c_CR.tif;286;155;2020_PS076_P1_d_EH.TIF;115;322
2020_PS076_P1_c_CR.tif;228;42;2020_PS076_P1_d_EH.TIF;252;44
2020_PS076_P1_c_CR.tif;314;219;2020_PS076_P1_d_EH.TIF;155;68
2020_PS076_P1_c_CR.tif;248;254;2020_PS076_P1_d_EH.TIF;225;325
2020_PS076_P1_c_CR.tif;269;289;2020_PS076_P1_d_EH.TIF;228;205
2020_PS076_P1_c_CR.tif;313;276;2020_PS076_P1_d_EH.TIF;232;67
2020_PS076_P1_c_CR.tif;253;381;2020_PS076_P1_d_EH.TIF;72;368
2020_PS076_P1_c_CR.tif;200;376;2020_PS076_P1_d_EH.TIF;170;339
2020_PS076_P1_c_CR.tif;270;152;2020_PS076_P1_d_EH.TIF;108;143
2020_PS076_P1_c_CR.tif;326;307;2020_PS076_P1_d_EH.TIF;216;144
2020_PS076_P1_c_CR.tif;270;305;2020_PS076_P1_d_EH.TIF;65;292
2020_PS076_P1_c_CR.tif;281;137;2020_PS076_P1_d_EH.TIF;128;131
2020_PS076_P1_c_CR.tif;294;249;2020_PS076_P1_d_EH.TIF;90;242
2020_PS076_P1_c_CR.tif;288;84;2020_PS076_P1_d_EH.TIF;337;147
2020_PS076_P1_c_CR.tif;86;155;2020_PS076_P1_d_EH.TIF;55;240
2020_PS076_P1_c_CR.tif;197;339;2020_PS076_P1_d_EH.TIF;161;108
2020_PS076_P1_c_CR.tif;110;224;2020_PS076_P1_d_EH.TIF;315;167
2020_PS076_P1_c_CR.tif;155;445;2020_PS076_P1_d_EH.TIF;69;200
